LCOE for steam/electric cracker ($/t-ethylene),,,,,,,,,,,,,,,
id_LC,h2_consumption,h2_production,elec_consumption,ethane_consumption,natgas_consumption,natgas_production,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/t-ethylene),,,
CEN_F-H2in-CH4out,62.856195092597204,0.0,0.0,464.01125931296116,0.0,-29.69965088329266,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,857.7924661250152,,,
SE_F-H2in-CH4out,73.52154744083924,0.0,0.0,464.01125931296116,0.0,-29.69965088329266,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,868.457818473257,,,
MIDAT_F-H2in-CH4out,76.61224559363409,0.0,0.0,464.01125931296116,0.0,-29.69965088329266,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,871.5485166260519,,,
NE_F-H2in-CH4out,81.39621471994616,0.0,0.0,464.01125931296116,0.0,-29.69965088329266,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,876.3324857523639,,,
CA_F-Ein,0.0,-95.3274587238592,124.00987111264874,20583111581.399403,0.0,-30.30749030499077,313.6807225347958,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,20583112069.660183,,,
NW_F-Ein,0.0,-89.27952089495109,90.97495590056195,20583111581.399403,0.0,-30.30749030499077,313.6807225347958,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,20583112042.673206,,,
SW_F-Ein,0.0,-84.58168485677973,94.99623001365445,464.01125931296116,0.0,-30.30749030499077,313.6807225347958,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,934.0041781557753,,,
TX_F-Ein,0.0,-59.51738057358297,68.56120730710396,464.01125931296116,0.0,-29.48742110872601,313.6807225347958,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,933.4535289286863,,,
NCEN_F-Ein,0.0,-88.54423287615775,104.39689477183914,464.01125931296116,0.0,-29.69965088329266,313.6807225347958,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,940.05013431628,,,
CEN_F-Ein,0.0,-82.44799136128839,85.37117417233848,464.01125931296116,0.0,-29.69965088329266,313.6807225347958,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,927.1206552316488,,,
SE_F-Ein,0.0,-96.43765263457342,129.49419396326468,464.01125931296116,0.0,-29.69965088329266,313.6807225347958,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,957.2540137492899,,,
MIDAT_F-Ein,0.0,-100.49169781224583,133.65677976728628,464.01125931296116,0.0,-29.69965088329266,313.6807225347958,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,957.3625543756391,,,
NE_F-Ein,0.0,-106.76679360221198,160.95830030104796,464.01125931296116,0.0,-29.69965088329266,313.6807225347958,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,978.3889791194347,,,
Existing_CA_F-NGin-H2out,0.0,-95.3274587238592,0.0,20583111581.399403,47.39735404834374,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,111.56481360858832,20583111962.126472,,,
Existing_NW_F-NGin-H2out,0.0,-89.27952089495109,0.0,20583111581.399403,47.39735404834374,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,111.56481360858832,20583111968.174408,,,
Existing_SW_F-NGin-H2out,0.0,-84.58168485677973,0.0,464.01125931296116,47.39735404834374,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,111.56481360858832,855.4841068191015,,,
Existing_TX_F-NGin-H2out,0.0,-59.51738057358297,0.0,464.01125931296116,46.11486217427719,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,111.56481360858832,879.2659192282317,,,
Existing_NCEN_F-NGin-H2out,0.0,-88.54423287615775,0.0,464.01125931296116,46.446764607091936,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,111.56481360858832,850.5709693584716,,,
Existing_CEN_F-NGin-H2out,0.0,-82.44799136128839,0.0,464.01125931296116,46.446764607091936,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,111.56481360858832,856.667210873341,,,
Existing_SE_F-NGin-H2out,0.0,-96.43765263457342,0.0,464.01125931296116,46.446764607091936,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,111.56481360858832,842.677549600056,,,
Existing_MIDAT_F-NGin-H2out,0.0,-100.49169781224583,0.0,464.01125931296116,46.446764607091936,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,111.56481360858832,838.6235044223836,,,
