Levelized cost for Ethanol Upgrade Production - $/MWh-fuel,,,,,,,,,,,,,,,,,
id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol prod.,elec_production,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption - ethanol prod.,investment_cost,investment_cost - ethanol prod.,fixed_om_cost,fixed_om_cost - ethanol prod.,variable_om_cost,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel),
NW_Ethanol_to_Diesel,0.41813640064459656,0.0,0.7751027142320955,0.0,0.0,54.226830181782276,4.70425312397174,32.94383396942472,1.9421746068393406,18.049541328236973,8.661283555748367,10.573756333008005,-8.567839168721601,-17.32268534040424,6.815510895603208,113.2198986003655,
SW_Ethanol_to_Diesel,0.39613430842760605,0.0,0.8093637968440631,0.0,0.0,54.226830181782276,4.70425312397174,32.94383396942472,1.9421746068393406,18.049541328236973,8.661283555748367,10.573756333008005,-8.567839168721601,-15.755039226286693,6.815510895603208,114.799803704878,
TX_Ethanol_to_Diesel,0.27874682838088555,0.0,0.584138539543248,0.0,0.0,54.226830181782276,4.576964026802047,32.94383396942472,1.9421746068393406,18.049541328236973,8.661283555748367,10.573756333008005,-8.567839168721601,-14.90723921127807,6.815510895603208,115.1777018853694,
NCEN_Ethanol_to_Diesel,0.41469271409102404,0.0,0.8894570565497262,0.0,0.0,54.226830181782276,4.609905803569375,32.94383396942472,1.9421746068393406,18.049541328236973,8.661283555748367,10.573756333008005,-8.567839168721601,-11.407799711829705,6.815510895603208,119.15134756430172,
CEN_Ethanol_to_Diesel,0.38614125616500156,0.0,0.7273587347542951,0.0,0.0,54.226830181782276,4.609905803569375,32.94383396942472,1.9421746068393406,18.049541328236973,8.661283555748367,10.573756333008005,-8.567839168721601,-13.141079338732139,6.815510895603208,117.22741815767782,
SE_Ethanol_to_Diesel,0.451661171061625,0.0,1.1032849669961082,0.0,0.0,54.226830181782276,4.609905803569375,32.94383396942472,1.9421746068393406,18.049541328236973,8.661283555748367,10.573756333008005,-8.567839168721601,-10.35465792938054,6.815510895603208,120.45528571416786,
MIDAT_Ethanol_to_Diesel,0.4706480993252419,0.0,1.138750019141313,0.0,0.0,54.226830181782276,4.609905803569375,32.94383396942472,1.9421746068393406,18.049541328236973,8.661283555748367,10.573756333008005,-8.567839168721601,-9.971628203054854,6.815510895603208,120.89276742090237,
NE_Ethanol_to_Diesel,0.5000372127637404,0.0,1.3713578006884897,0.0,0.0,54.226830181782276,4.609905803569375,32.94383396942472,1.9421746068393406,18.049541328236973,8.661283555748367,10.573756333008005,-8.567839168721601,-8.349563080344076,6.815510895603208,122.77682943859884,
CA_Ethanol_to_JetFuel,0.7468795547808108,0.0,1.060501660251548,0.0,0.0,54.42919500629681,4.721808554645323,44.35867113581186,1.9494224548542822,24.30359709379617,8.693605915749014,14.045350129172764,-8.599812810994896,-17.54365614542239,6.778014436979778,134.94357698592108,
NW_Ethanol_to_JetFuel,0.6994946651229231,0.0,0.7779952588307839,0.0,0.0,54.42919500629681,4.721808554645323,44.35867113581186,1.9494224548542822,24.30359709379617,8.693605915749014,14.045350129172764,-8.599812810994896,-17.38733050161466,6.778014436979778,134.77001133865014,
